Coupon,ISIN,Issue Date,Maturity Date,6,7,8,9,10,13,14,15,16,17
2.250%,CA135087D507,6/30/2014,6/1/2025,99.67,99.66,99.66,99.67,99.64,99.64,99.64,99.67,99.7,99.71
1.000%,CA135087F825,8/3/2016,6/1/2027,95.84,95.81,95.81,95.85,95.56,95.44,95.34,95.52,95.75,95.76
1.250%,CA135087K528,10/11/2019,3/1/2025,99.73,99.73,99.74,99.73,99.74,99.73,99.73,99.77,99.78,99.8
0.500%,CA135087K940,4/3/2020,9/1/2025,98.4,98.41,98.4,98.42,98.37,98.36,98.36,98.4,98.47,98.5
0.250%,CA135087L518,10/9/2020,3/1/2026,96.99,96.98,96.97,97.0,96.9,96.91,96.8,96.9,97.01,97.06
1.000%,CA135087L930,4/16/2021,9/1/2026,97.01,96.99,97.0,97.03,96.86,96.77,96.71,96.85,97.03,97.07
1.500%,CA135087N340,1/24/2022,4/1/2025,99.64,99.63,99.63,99.63,99.64,99.64,99.64,99.66,99.67,99.7
2.250%,CA135087J397,7/27/2018,6/1/2029,97.44,97.48,97.28,97.2,96.97,96.65,96.32,96.57,97.11,97.23
3.250%,CA135087Q491,4/21/2023,9/1/2028,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02
2.250%,CA135087N670,3/29/2022,12/1/2029,96.6,96.63,96.42,96.34,96.25,95.77,95.38,95.65,96.22,96.35
